company_short_name,company_full_name,ogrn,inn,product,role,urls
"ОКБ НЕБО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКБ НЕБО""",1237700868624,9703163742,"Газодрон
Дрон Т1
Дрон Т2
Дрон Л1
Дрон Л2
Самолет К1
Самолет К2
Самолет S1
Дрон Л2-ОВ
БПЛА P1","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",okbnebo.ru
"РУССКИЙ БЕСПИЛОТНЫЙ АЛЬЯНС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ БЕСПИЛОТНЫЙ АЛЬЯНС""",1237700738440,9702060977,Гастелло,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ЮВС АВИА, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮВС АВИА""",1127746516809,7726700284,"Голиаф-РУ, Квазимачта","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",kalashnikovgroup.ru/dzo/yuvs-avia
"КБ АТЛ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСТРУКТОРСКОЕ БЮРО АВИАТЕХНОЛАБ""",1247700699949,7743459220,"Горгона 15, Арго 13, Икар 10, Сатир 7, Гермес 10, ретрансляторы, комплектующие","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",kb-atl.ru
"КБ ЛИС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КБ ЛИС""",1234700008982,4706059162,Гортензия,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ПЛАЗ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАЗ""",5067847004341,7816388172,Грифон-41,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"НОВЫЙ РУБЕЖ, ООО КПК","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОНСТРУКТОРСКО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""НОВЫЙ РУБЕЖ""",1230100001328,100005027,Гром-9,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"БПЛА ГОРЬКИЙ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БПЛА ""ГОРЬКИЙ""",1245200013827,5256212074,"Дрон-камикадзе ""Ракета""","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",kb-gorkiy.ru
"КБ-77, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КБ-77""",1227700849749,9725106836,"Егерь КБ-77, Изделие 1-390","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",kb-77.ru
"КОНСТРУКТОРСКОЕ БЮРО-77, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСТРУКТОРСКОЕ БЮРО-77""",1247700385888,9715483585,"Егерь КБ-77, Изделие 1-390","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",kb-77.ru
"ОКБ-77, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКБ-77""",1237700160280,9715443198,"Егерь КБ-77, Изделие 1-390","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",kb-77.ru
"МОЛОТ АЭРО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОЛОТ АЭРО""",1234300001110,4345522911,"Жмиль 17, Вятка","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/s/Aero_m
"СОЛИДАРНОСТЬ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЛИДАРНОСТЬ""",1237700679974,9717145101,"Зверобой, Победитель","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",beastfpv.ru
"Р-ЛАБ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Р-ЛАБ""",1226100007264,6167202982,"Злой дрон, Огонек","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/s/zloy_dron
"АЭРОТЭК, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЭРОТЭК""",1236200005601,6234204561,"Зэт, Прорыв","Обучение, ПО",платформа-бпла.рф
"НИПП РУСТЕХДРОН, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНОЕ-ИССЛЕДОВАТЕЛЬСКОЕ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ РУСТЕХДРОН""",1225000111313,5003153526,"Инферно, РТД-К7, РТД-1, обучение, сборка","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",rustecdrone.ru
"НПО РУСТЕХДРОН, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ РУСТЕХДРОН""",1235000022179,5003155499,"Инферно, РТД-К7, РТД-1, обучение, сборка","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",rustecdrone.ru
"РОБДВОР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОБОТЕХНИЧИЙ ДВОР""",1247700530450,9715490021,"Каргач, Кикимора","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/RobDvor
"АРХАНГЕЛ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРХАНГЕЛ""",1249000005517,9001027869,"Катюша, Архангел","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/s/projectArchangel
"АРХАНГЕЛ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРХАНГЕЛ""",1249500004181,9500026652,"Катюша, Архангел","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",t.me/s/projectArchangel
"НПЦ УШКУЙНИК, АНО","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ИСПЫТАНИЙ И КОМПЕТЕНЦИЙ В СФЕРЕ РАЗВИТИЯ БЕСПИЛОТНЫХ АВИАЦИОННЫХ СИСТЕМ И СРЕДСТВ ЗАЩИТЫ ОТ ИХ ПРОТИВОПРАВНОГО ПРИМЕНЕНИЯ ""УШКУЙНИК""",1235300003685,5300010714,КВН (Князь Вандал),"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",nvgushkuynik.ru
"ПТИЦ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДОВОЙ ТЕХНИЧЕСКИЙ ИННОВАЦИОННЫЙ ЦЕНТР""",1237700801843,9719058648,"Ключ 7"", 8"", 10"", Ключ Курьер","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",klyuchfpv.ru
"КОМПОНЕНТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПОНЕНТ""",1227700628000,7743393900,Комар,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",komponent.online
"НПК ГАМАЮН, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ КОМПЛЕКС ""ГАМАЮН""",1195081095505,5032314337,"Комар 5, Комар 6, Комар 7, Серафим, Скоморох, Шмель, Шмель 2, Шмель 3","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",npkgamayun.ru
"ЛАБОРАТОРИЯ БУДУЩЕГО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБОРАТОРИЯ БУДУЩЕГО""",1116658026231,6658399868,"Комар, Муха, Муравей, Вжух","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",cablewalker.ru
"ПИР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРЕДОВЫЕ ИНЖЕНЕРНЫЕ РЕШЕНИЯ""",1235400028181,5402078711,Косатка,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей","aerofregat.tw1.ru, аэрофрегат.рф"
"АЭРОФРЕГАТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЭРОФРЕГАТ""",1245400007346,5402082179,"Косатка, Трибунал, Катапульта КТ10, Молот","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей","aerofregat.tw1.ru, аэрофрегат.рф"
"АГЕНТСТВО РЕГИОНАЛЬНОГО РАЗВИТИЯ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГЕНТСТВО РЕГИОНАЛЬНОГО РАЗВИТИЯ""",1225100003875,5190092020,"Кречет, Сварог, Грузовичок, Илья Муромец, Алеша Попович, Добрыня Никитич, Аватар","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей","https://frobotics.ru/, https://svarogfpv.ru/ , https://fpvavatar.ru/"
"АГЕНТСТВО ЦИФРОВОГО РАЗВИТИЯ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГЕНТСТВО ЦИФРОВОГО РАЗВИТИЯ""",1225100003831,5190091997,"Кречет, Сварог, Грузовичок, Илья Муромец, Алеша Попович, Добрыня Никитич, Аватар","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей","https://frobotics.ru/, https://svarogfpv.ru/ , https://fpvavatar.ru/"
"НПО ЖОСТР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ЖОСТР""",1237700139775,9721199533,"Крушина, Червонец, Дрост-7"", Дрост-5"", Оса, оборудование для обучения, защита","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",jostr.ru
"СТРАТИМ-ТЕХ, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАТИМ-ТЕХ""",1237700601490,9724145543,"Ласточка, камикадзе Русак, Журавль, Воробей,  Русак, ударное крыло Тювик","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"СТРАТИМ, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАТИМ""",1237700447324,7720901379,"Ласточка, Русак, Журавль, Воробей","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"СТРАТИМ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАТИМ""",1245200009075,5260494520,"Ласточка, Русак, Журавль, Воробей","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"ГК ТИХИЕ КРЫЛЬЯ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ ТИХИЕ КРЫЛЬЯ""",1207800024662,7802703755,"Легионер, Легионер Е33к","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",silentwings.ru
"АТРИ, АО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТРИ""",1117847007695,7814488492,"Линейка ""Одуванчик""","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",oduvanchik.tech
"АТРИ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТРИ""",1037835001082,7816135608,"Линейка ""Одуванчик""","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",oduvanchik.tech
"ОКБ УЧЁНЫЙ ЦЕХ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКБ УЧЁНЫЙ ЦЕХ""",1237000009509,7000012055,ЛИХО,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"НПО АВИАБАС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО АВИАБАС""",1237800098315,7802943980,"Лунь-7, Лунь-10","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"АКВАРИУМ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАРИУМ""",1233900009310,3900014690,"Манта, Химера 7","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",oooaquarium.com
"АТЛАНТ АЭРО, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАНТ АЭРО""",1236100025633,6154165878,"Молния-1
Молния-1 ИИ","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"АТЛАНТ СЕРВИС, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАНТ СЕРВИС""",1247700778600,9717173300,"Молния-1
Молния-1 ИИ","Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"МОНОЛИТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНОЛИТ""",1136320006591,6321308944,Монолит FPV-7,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",zorge-protect.ru
"БЕЛЫЙ ПАРОХОД, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛЫЙ ПАРОХОД""",1237700539010,9714016933,Москит 2.0,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",mwings.ru
"ХАРДБЕРРИ РУСФАКТОР, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАРДБЕРРИ РУСФАКТОР""",1137746479310,7728845817,НАКА,ПО,
"ВОЗДУШНЫЙ ТРАКТАТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЗДУШНЫЙ ТРАКТАТ""",1237100015767,7100046925,Овод,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
"РЛВТ, ООО","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ ЛАБОРАТОРИЯ ВОЗДУШНОГО ТРАНСПОРТА""",1227100012369,7100027464,Овод,"Производство боевых дронов и/или ретрансляторов, средств подавления, запчастей",
